sBT,sNT,sRT,s,sPrefLabel,sAltLabels
,taiga environment| semi-arid environment| brackish-water environment| periglacial environment| temperate environment| fresh-water environment| tidal environment| interglacial environment| arid environment| deep-water environment| aerobic environment| fluviolacustrine environment| intertidal environment| anaerobic environment| shelf environment| nearshore environment| urban environment| low-energy environment| deep-sea environment| arctic environment| subtropical environment| boreal environment| storm environment| pelagic environment| coastal environment| lacustrine environment| alpine environment| subalpine environment| estuarine environment| benthic environment| terrestrial environment| lagoonal environment| continental environment| supratidal environment| slope environment| reef environment| glaciolacustrine environment| steppes| abyssal environment| glacial environment| high-energy environment| sebkha environment| postglacial environment| shallow-water environment| humid environment| paludal environment| hypersaline environment| cave environment| subtidal environment| depositional environment| marine environment| subaerial environment| deltaic environment| subglacial environment| hemipelagic environment| glaciofluvial environment| glaciomarine environment| tropical environment| fluvial environment,biotopes| habitat| equatorial region| paleoecology| environmental analysis| domains| remediation| sedimentation| environmental indicators| latitude| environmental geology| geomorphology| ecosystems| environmental law| environmental impact evaluation| reclamation| near-field| far-field| lithotopes| paleoenvironment| ecology,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ambiente,environment,
environment,,sedimentation| high-energy environment| depositional environment,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ambienteabassaenergia,low-energy environment,
environment,,abyssal sedimentation| deep-water environment| deep-sea environment| Calcari di Ubaga,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ambienteabissale,abyssal environment,
environment,,low-energy environment| sedimentation| depositional environment,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ambienteadaltaenergia,high-energy environment,
environment,,paleoecology| anaerobic environment| depositional environment,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ambienteaerobico,aerobic environment,
environment,,climate| Alps| Spodosols| mountains| subalpine environment| cryonival features| glaciofluvial features| depositional environment| ecology,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ambientealpino,alpine environment,
environment,,deep-water environment| aerobic environment| paleoecology| sapropel| anaerobic taxa| euxinic environment| depositional environment| gyttja,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ambienteanaerobico,anaerobic environment,
environment,,climate| wadis| semi-arid environment| Yermosols| halophyte| paleoclimatology| deflation| continental dunes| barchans| Solonchak soils| geomorphology| Solonetz soils| Aridisols| continental environment| oasis| land use| desertification| yardangs| anatomy| desert varnish| deserts| depositional environment| ecology,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ambientearido,arid environment,
environment,,climate| periglacial environment| paleoclimatology| paleoecology| depositional environment| ecology,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ambienteartico,arctic environment,
environment,,benthonic taxa| ocean floors,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ambientebentonico,benthic environment,
environment,,paleoclimatology| paleoecology| depositional environment| ecology,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ambienteboreale,boreal environment,
environment,,beaches| tidal environment| littoral erosion| playas| sedimentation| inlets| Formazione di Bellano| coastal plains| lagoons| polders| tidal flats| capes| spits| coastlines| shorelines| carbonate ramps| subtidal environment| depositional environment| ecology,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ambientecostiero,coastal environment,
environment,,deep-water environment| paleoecology| fresh-water sedimentation| sedimentation| depositional environment| fresh water| ecology,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ambientedacquadolce,fresh-water environment,
environment,,deltas| deep-water environment| paleoecology| sedimentation| deltaic sedimentation| depositional environment| ecology,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ambientedeltizio,deltaic environment,
environment,,deep-water environment| sedimentation| reef environment| tempestite| carbonate ramps| depositional environment| ecology,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ambientediacquapocoprofonda,shallow-water environment,
environment,,brackish-water environment| fresh-water environment| anaerobic environment| deep-sea environment| pelagic environment| lacustrine environment| estuarine environment| lagoonal environment| slope environment| reef environment| abyssal environment| shallow-water environment| hypersaline environment| depositional environment| deltaic environment| hemipelagic environment| glaciofluvial environment| fluvial environment,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ambientediacquaprofonda,deep-water environment,
environment,,deep-water environment| paleoecology| sedimentation| estuaries| estuarine sedimentation| depositional environment| ecology,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ambientediestuario,estuarine environment,
environment,,deep-water environment| sedimentation| deep-sea sedimentation| bottom features| abyssal environment| abyssal hills| depositional environment| hemipelagic environment,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ambientedimareprofondo,deep-sea environment,
environment,,paleoecology| sedimentation| carbonate platforms| slope environment| continental shelf| insular shelf| depositional environment,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ambientedimarginecontinentale,shelf environment,
environment,,reefs| deep-water environment| paleoecology| back reef| sedimentation| shallow-water environment| depositional environment| marine environment,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ambientediscogliera,reef environment,
environment,,halophyte| salt marshes| evaporites| playas| chemically precipitated rocks| sedimentation| supratidal environment| salt lakes| Formazione a Bellerophon| salt flat| coast| hypersaline environment| depositional environment| paleogeography,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ambientedisebkha,sebkha environment,
environment,,taiga environment| revegetation| plains| geomorphology| prairies| grasslands,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ambientedisteppa,steppes,
environment,,forests| climate| tundra| paleoclimatology| sedimentation| geomorphology| steppes| depositional environment| ecology,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ambienteditaiga,taiga environment,
environment,,deep-water environment| shelf environment| sedimentation| continental slope| continental shelf| depositional environment| hemipelagic environment,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ambienteditalusmarino,slope environment,
environment,,sedimentation| tempestite| storms| depositional environment,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ambienteditempesta,storm environment,
environment,,deep-water environment| paleoecology| deep-sea environment| hemipelagic sedimentation| sedimentation| pelagic environment| terrigenous materials| continental slope| slope environment| oceanography| depositional environment| ecology,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ambienteemipelagico,hemipelagic environment,
,,ichthyolitic schist| anaerobic environment| black shale| sapropel| gyttja,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ambienteeuxinico,euxinic environment,
environment,,deep-water environment| paleoecology| sedimentation| streams| Rijeka Croatia| rivers| stream sediments| glaciofluvial features| fluvial sedimentation| depositional environment| fluvial features,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ambientefluviale,fluvial environment,
environment,,glaciofluvial sedimentation| deep-water environment| glacial features| sedimentation| kames| glaciers| glacial environment| glaciofluvial features| depositional environment| glacial geology| fluvial features,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ambientefluvioglaciale,glaciofluvial environment,
environment,,sedimentation| glaciomarine sedimentation| glaciers| glacial environment| depositional environment| marine environment| glacial geology,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ambienteglaciomarino,glaciomarine environment,
environment,,paleoclimatology| sedimentation| glacial environment| depositional environment| glacial geology,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ambienteinterglaciale,interglacial environment,
environment,,littoral erosion| Calcare del Cellina| wave-cut platforms| washover deposits| sedimentation| intertidal sedimentation| lagoons| littoral zone| tidal flats| capes| foredunes| coastlines| tidal waves| depositional environment| ecology,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ambienteintertidale,intertidal environment,
environment,,halophyte| salinity| deep-water environment| paleoecology| sedimentation| lacustrine environment| Formazione a Colombacci| dolomitization| lagoonal environment| sebkha environment| depositional environment| ecology,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ambienteipersalino,hypersaline environment,
environment,,deep-water environment| paleoecology| lacustrine features| sedimentation| lacustrine sedimentation| lakes| hypersaline environment| lacustrine deposit| depositional environment| ecology| meromictic lakes,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ambientelacustre,lacustrine environment,
environment,,Calcari di Gallaneto| deep-water environment| paleoecology| Calcare del Cellina| sedimentation| lagoons| dolomitization| oolite| lagoonal sedimentation| hypersaline environment| Calcare di Morbiac| Formazione di Duerrenstein| depositional environment| ecology| Formazione di Castro Sebino,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ambientelagunare,lagoonal environment,
environment,,nearshore sedimentation| tidal currents| littoral erosion| sedimentation| Formazione di Dont| littoral zone| coast| Formazione di Duerrenstein| depositional environment,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ambientelitorale,nearshore environment,
environment,,marine sedimentation| littoral erosion| paleoecology| sedimentation| hardground| nekton| submarine springs| ice shelves| reef environment| tidal flats| capes| spits| coastlines| benthos| depositional environment| ecology| glaciomarine environment,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ambientemarino,marine environment,
environment,,bogs| marshes| paludal sedimentation| paleoecology| bog iron ores| sedimentation| swamps| muskegs| depositional environment| ecology,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ambientepalustre,paludal environment,
environment,,Formazione di Sogno| deep-water environment| pelagic sedimentation| nodular limestone| sedimentation| ooze| ammonite-bearing red limestone| Encrinite di Fanes Piccola| oceanography| depositional environment| red limestone| Formazione di Val Luretta| cherty limestone| hemipelagic environment,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ambientepelagico,pelagic environment,
environment,,glacial lakes| arctic environment| sedimentation| kames| geomorphology| glaciers| cryonival features| glaciolacustrine environment| glacial environment| frost action| glaciofluvial features| ice-marginal features| depositional environment| glacial geology| moraine complex,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ambienteperiglaciale,periglacial environment,
environment,,climate| arid environment| geomorphology| depositional environment| ecology,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ambientesemiarido,semi-arid environment,
environment,,sedimentation| dolomitization| tidal flats| sebkha environment| depositional environment| ecology,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ambientesopratidale,supratidal environment,
continental environment| environment,,depositional environment,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ambientesubaereo,subaerial environment,
environment,,sedimentation| alpine environment| depositional environment| ecology,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ambientesubalpino,subalpine environment,
environment,,sedimentation| glaciers| glacial environment| depositional environment| glacial geology,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ambientesubglaciale,subglacial environment,
environment,,Calcari di Gallaneto| sedimentation| coastal environment| oncolites| Calcare di Camorelli| Formazione del Contrin| depositional environment,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ambientesubtidale,subtidal environment,
environment,,climate| paleoclimatology| Oxisols| depositional environment| ecology| Ferralsols| tropical environment,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ambientesubtropicale,subtropical environment,
environment,,climate| paleoclimatology| depositional environment| ecology,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ambientetemperato,temperate environment,
environment,,paleoecology| sedimentation| terrestrial sedimentation| continental environment| ecology,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ambienteterrestre,terrestrial environment,
environment,,Calcari di Gallaneto| sedimentation| coastal environment| oncolites| tidal flats| Formazione di Agordo| depositional environment,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ambientetidale,tidal environment,
environment,,climate| equatorial region| paleoclimatology| subtropical environment| Oxisols| Acrisols| depositional environment| ecology| Ferralsols| termite mounds,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ambientetropicale,tropical environment,
environment,,climate| humidity| paleoclimatology| depositional environment| ecology,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ambienteumido,humid environment,
environment,,sedimentation| human ecology| environmental geology| pollution| depositional environment| ecology| urbanization,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ambienteurbano,urban environment,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/amburgo,,
,Cayman Islands| Central America,South America| United States of America| Latin America| North America| Canada| West Indies,http://linkeddata.ge.imati.cnr.it/resource/ThIST/america,America,
America,Honduras| Cuba| Cayman Islands| Puerto Rico| Jamaica| Navassa Island| Saint Kitts and Nevis| Haiti| Grenada| Poas| Anguilla| El Salvador| Saint Lucia| Montserrat| Mexico| Belize| Panama| Panama City Panama| Turks and Caicos Islands| Guatemala| Guatemala City Guatemala| Greater Antilles| Netherlands Antilles| Dominica| Guadeloupe| Antigua and Barbuda| Costa Rica| Barbados| Martinique| Mount Pelee| Saint Vincent and the Grenadines| Hispaniola| Nicaragua,Latin America,http://linkeddata.ge.imati.cnr.it/resource/ThIST/americacentrale,Central America,
,Venezuela| Chile| Cuba| Perù| El Salvador| Ecuador| Uruguay| Panama| Panama City Panama| Paraguay| Colombia| Guatemala| Guatemala City Guatemala| Costa Rica,South America| America| Central America,http://linkeddata.ge.imati.cnr.it/resource/ThIST/americalatina,Latin America,
Oceania,Pagp Pago American Samoa,Polynesia| islands| Pacific Ocean,http://linkeddata.ge.imati.cnr.it/resource/ThIST/americansamoa,American Samoa,
metals| actinides,Am-241,trans-uranium elements,http://linkeddata.ge.imati.cnr.it/resource/ThIST/americio,americium,
silicates,,actinolite| chain silicates| amphibole group| asbestos deposits| sheet silicates| chrysotile| anthophyllite,http://linkeddata.ge.imati.cnr.it/resource/ThIST/amianto,asbestos,
Osteichthyes| Holostei| Chordata| Vertebrata| Pisces| Actinopterygii,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/amiidae,Amiidae,
